Site,Plot,Treatment,Microbial org N,Mic.total.N,CN,Mic C,Mic.NO3,Mic.NH4,Mineralised NO3,Mineralised NH4,Total mineralised N,Unmin nit,Unmin Amm,Unmin Tot N,Unmin DON,Min DON,DC-H2O,DOC-H2O,NO3- H2O,NH4- H2O,Total N H2O,Total Organic N H2O,BD
WH,30,"fg1,2&3",-41.71,-37.81,14.97021716,1196.820068,3.2,0.71,6.44,5.48,23.79,0.424372862,4.880287911,13.7655947,8.460933932,11.87686211,9.647326246,9.291267197,0.235032407,0.06444437,46.5850064,46.28552962,1.028555255
WH,31,fg1,646.97,803.18,15.32114399,868.7115118,12.52,143.69,7.72,7.08,30.71,1.765872042,5.146067406,15.13510478,8.22316533,15.91304628,6.536480508,6.240200784,0.716101264,0.075214137,10.05043527,9.259119872,1.04863828
WH,32,fg2&3,480.12,579.22,13.32446928,1366.767007,5.82,93.28,5.62,5.28,24.76,1.007932922,5.512350392,17.16266471,10.6423814,13.8530863,11.36027723,10.89667617,0.729296305,0.056409659,23.19223753,22.40653157,1.046122023
WH,33,fg1&2,506.15,605.53,12.53979343,975.0442021,7.57,91.8,4.73,5.25,23.27,0.013529502,3.125314935,10.67477699,7.53593255,13.29021797,9.884867217,9.461960345,0.129277573,0.039958523,165.2372514,165.0680153,0.925928873
WH,34,fg2,666.53,815.95,12.71915589,1230.742332,11.16,138.26,2.17,3.52,16.51,0.392322433,3.04853825,13.30680515,9.865944464,10.81268061,11.2295025,10.70872863,0.353514859,0.112714882,62.56549589,62.09926615,0.857848431
WH,35,fg1&3,710.67,867.25,14.86660898,1270.34787,10.97,145.61,2.87,3.57,16.64,0.140065975,3.457082937,10.4603817,6.863232791,10.19528008,11.87027673,11.42583579,0.194661448,0.08677679,83.25348754,82.9720493,1.058778513
WH,36,fg2,751.66,911.38,16.82728523,1581.001178,14.89,144.83,1.69,4.14,16.51,1.79084377,2.887818182,12.23192553,7.553263574,10.67788733,8.70274111,8.277903157,0.961502832,0.089879613,16.09740986,15.04602742,1.132494933
WH,37,fg1,-41.99,-32.07,15.00204199,1073.733096,3.48,6.45,3.81,5.59,25.67,0.265092008,3.493776716,10.0531046,6.294235874,16.26107733,13.34405685,12.76650076,0.381860999,0.0891009,61.06896267,60.59800077,1.040874207
WH,38,fg3,446.34,548.14,13.73858801,1201.235772,4.7,97.11,3.36,4.97,19.05,1.040506203,3.108512283,10.39855887,6.249540385,10.72506718,4.839471277,4.604050658,0.345683093,0.00000001,14.01501977,13.9907613,1.113692567
WH,39,fg2&3,462.45,569.76,12.68410081,1222.169571,10.8,96.51,2.62,4.24,17.26,0.20136881,2.046166945,6.905001469,4.657465713,10.39786109,9.826466903,9.228591507,0.253948345,0.057440697,103.7131551,103.4017661,1.235043402
WH,40,fg1&3,554.06,672.84,14.66637033,1335.15344,6.34,112.44,1.40,4.23,16.21,0.30805748,3.375796556,9.845003644,6.161149608,10.58647837,8.119257375,7.735734665,0.269962918,0.07952396,47.81410719,47.46462031,0.988459135
WH,41,fg1&2,619.16,746.92,15.46978861,1440.139993,5.54,122.22,2.39,4.65,18.38,0.169011885,2.737992538,7.943558597,5.036554174,11.33530266,9.828284313,9.309071538,0.188939701,0.040149687,78.68009743,78.45100804,1.204461547
WH,42,"fg1,2&3",671.78,809.43,15.87859201,1364.575354,4.64,133,0.88,4.71,22.16,0.135565285,2.514736038,8.235591067,5.585289744,16.57089329,7.938310215,7.52735369,0.17499484,0.030049619,52.4049365,52.19989204,1.079494114
